CD_INSTITUICAO_ENSINO,CD_PROGRAMA
15004015,15004015007P6
20001010,20001010029P5
25002015,25002015006P5
27001016,27001016035P4
28003012,28003012007P6
32001010,32001010027P6
32053010,32053010002P5
32079010,32079010001P4
33032017,33032017009P2
33076014,33076014008P9
35110007,35110007001P2
35183004,35183004001P4
40029018,40029018001P4
41025016,41025016002P8
43002005,43002005001P9
53023013,53023013002P9
12001015,12001015174P2
12008010,12008010002P5
14001012,14001012162P0
15001016,15001016003P1
15001016,15001016170P5
15013014,15013014001P3
20009011,20009011042P2
21001014,21001014083P2
22001018,22001018011P4
22002014,22002014003P8
22002014,22002014008P0
22012010,22012010001P0
23001011,23001011034P7
23003014,23003014073P5
23009004,23009004003P0
24001015,24001015037P9
24003018,24003018001P7
25001019,25001019029P9
25002015,25002015011P9
26001012,26001012018P0
26006014,26006014003P4
26017008,26017008001P4
27002012,27002012005P4
28001010,28001010015P0
30001013,30001013027P0
30010012,30010012001P7
31001017,31001017130P9
31003010,31003010080P8
31003010,31003010158P7
31004016,31004016015P4
31005012,31005012020P4
31005012,31005012159P2
31011012,31011012015P7
31018017,31018017007P9
31019013,31019013002P3
31021018,31021018015P9
31030017,31030017006P5
32005016,32005016036P0
32006012,32006012027P8
32007019,32007019052P9
32008015,32008015005P7
32017014,32017014001P7
32040016,32040016001P8
32083017,32083017001P4
33002010,33002010119P7
33002029,33002029051P9
33004072,33004072068P9
33005010,33005010019P5
33006016,33006016018P1
33020019,33020019001P7
33024014,33024014018P2
33034010,33034010006P0
33082014,33082014006P2
33087016,33087016003P5
33092010,33092010011P1
33105014,33105014001P2
33111014,33111014001P9
33136017,33136017001P4
33142017,33142017001P0
33145016,33145016001P0
33145016,33145016002P6
33254010,33254010001P6
35016000,35016000001P3
35019000,35019000001P6
35133007,35133007001P5
40001016,40001016017P3
40002012,40002012002P2
40003019,40003019006P4
40005011,40005011173P0
40022013,40022013009P0
40028011,40028011001P8
40030016,40030016001P9
40031012,40031012001P5
40036014,40036014001P7
40051013,40051013002P5
40066010,40066010001P2
41001010,41001010011P1
41001010,41001010158P2
41005015,41005015001P8
41005015,41005015012P0
92004190,41005015012P0
41006011,41006011015P5
41007018,41007018003P3
41015010,41015010008P4
41016017,41016017006P8
41079000,41079000001P0
42001013,42001013042P3
42002010,42002010057P0
42003016,42003016057P3
42004012,42004012027P3
42005019,42005019013P9
42005019,42005019023P4
42007011,42007011005P9
42007011,42007011033P2
42008018,42008018004P9
42009014,42009014013P4
42010012,42010012003P3
42020018,42020018002P9
42021014,42021014005P4
42024013,42024013004P7
42051010,42051010001P4
50001019,50001019025P4
51001012,51001012101P5
52001016,52001016041P5
52001016,52001016107P6
52004015,52004015002P9
52016013,52016013003P0
52060004,52060004008P7
53001010,53001010017P3
53001010,53001010111P0
53003012,53003012008P3
53005015,53005015001P1
53019016,53019016001P9
53019016,53019016004P8
53032012,53032012001P8
53069005,53069005001P2
